A0,Harmonic 1,Harmonic 2,Harmonic 3,Harmonic 4,Harmonic 5,Harmonic 6,Harmonic 7,Harmonic 8,Harmonic 9,Harmonic 10,Harmonic 11,Harmonic 12
0.000000000000000000e+00,4.008261472404365477e+00,1.056331810788410826e-02,5.140768170092420604e-03,3.168551577663020582e-05,1.231866707434475521e-05,2.676623552836037586e-05,9.231966238943701013e-06,2.466965683881728242e-06,9.360580389439134611e-07,1.183199883961795436e-07,7.184621759268747868e-09,5.431434147426412201e-10
5.000000000000000278e-02,4.151029892385413866e+00,1.018809857799424755e-02,5.006720736243809936e-03,1.982891045889148654e-05,8.263573561613602611e-06,1.342812515963945706e-05,3.347560274951412005e-06,1.364641351701759385e-06,6.537531852747267724e-07,6.159629670374754978e-08,4.800348929799353139e-09,2.954964288447040139e-10
1.000000000000000056e-01,4.065150975353175156e+00,8.243510875854540704e-03,4.774351547912815408e-03,7.259808276043272848e-05,1.577339033738874707e-05,5.031517082655189414e-05,8.034653558807202712e-06,2.339405774315947079e-06,1.644237069136072845e-06,9.309828492300263294e-08,9.750301246728147173e-09,6.248915024827730572e-10
1.499999999999999944e-01,3.373195135695650659e+00,4.705975476722549719e-03,5.009867769401343297e-03,4.834968921828869024e-04,8.061260497740818285e-05,2.274466930655934314e-04,6.634941473836767018e-05,1.052910312695771668e-05,3.426467849107959308e-06,3.009217316236429395e-07,3.014438827953468956e-08,1.322514303429188425e-09
2.000000000000000111e-01,2.304005919429306104e+00,4.910438439733868718e-03,6.080441284587932878e-03,5.569262980822428655e-03,2.917125869007768102e-03,8.194776878059826207e-04,7.108407129081017106e-04,4.726928367635777187e-05,1.681869062651495801e-05,2.259261500134088926e-06,7.297563718037067446e-08,7.880005140037139817e-09
2.500000000000000000e-01,2.290716222652295908e+00,6.570680644527837101e-03,1.806217172428791970e-02,1.217632210807154808e-02,5.534931965455754284e-03,1.165923053101650814e-02,2.355544453774326488e-03,7.505073241139104904e-04,8.108854332352307434e-05,4.377353974714141355e-05,2.807615153046474829e-06,1.873437230722260371e-07
