A0,Harmonic 1,Harmonic 2,Harmonic 3,Harmonic 4,Harmonic 5,Harmonic 6,Harmonic 7,Harmonic 8,Harmonic 9,Harmonic 10,Harmonic 11,Harmonic 12
0.000000000000000000e+00,4.683231475122532572e+00,2.723833226575415536e-07,4.184267470568167960e-03,4.556488555600661879e-08,1.221838410153117192e-04,1.170756220104357088e-06,7.093228406808246499e-06,1.478855734448999406e-08,1.698465507118245795e-07,2.273049307148266291e-08,9.029825733006255830e-10,6.593284285663859296e-11
5.000000000000000278e-02,4.682415815418908167e+00,2.240813607847062932e-07,4.107682935235632514e-03,6.779954236462856389e-08,1.265701335193515295e-04,1.421622441475283588e-06,9.387313150449041335e-06,2.015863754824989575e-08,1.670295015437966581e-07,1.935162879423025406e-08,1.235802882843660645e-09,6.022141346652073548e-11
1.000000000000000056e-01,4.546987838739087628e+00,1.330829960544454011e-06,4.539296751870858931e-03,8.166597263465152169e-07,1.829058139633555637e-04,4.122081195279843132e-06,1.302392059016083153e-05,1.394405089399814192e-07,3.238314651742973866e-07,1.511461508807215623e-08,4.213251437103098008e-09,7.561952803457384118e-11
1.499999999999999944e-01,3.930570639102788366e+00,7.522355555281782786e-05,9.693783604271335314e-03,3.771469859194096001e-05,7.775938935489761644e-04,1.196527997395950083e-04,2.181175117410569047e-05,2.817643715300698178e-06,6.024157191389674219e-06,4.778634922287555744e-07,9.410485159546937324e-08,1.061754239120138990e-08
2.000000000000000111e-01,4.095495198527345337e+00,2.461328568842713642e-04,1.288394606822061347e-02,7.105094195069297470e-04,5.211385350330978439e-03,1.401333510534122405e-03,2.035272687381035526e-04,2.109673457116348510e-05,5.186336985994717481e-05,9.027473692936546789e-06,7.191109201811912933e-07,1.486747182253599273e-07
2.500000000000000000e-01,3.011234798860106920e+00,1.177065398631438114e-03,3.220388233839471120e-02,2.853768888042050068e-03,8.486657500441265045e-02,1.025432301709547703e-02,2.715553850572766624e-03,4.140535437284197117e-05,5.362402645467156991e-05,8.341163710765298224e-06,9.166791860889756614e-07,1.039418919089153284e-07
