A0,current_x,current_y
0.04,-0.001309762312873544,0.015615150258221473
0.07,-0.00014468624244114956,0.026268332838927506
0.09,-7.03577791646891e-05,0.02870247676750426
0.14,0.0006923254689012753,0.0185447438955201
0.15,-0.00030146234887926674,0.024196018648288152
0.18,-0.002127222294344648,0.02184418954143972
0.2,-0.0017599083305762184,0.03334280333613794
0.21,-0.00028207078318888466,0.031145639222349027
0.23,0.0034256677521675894,0.009981708409890027
0.24,0.000935120686929442,-0.0006254692880940316
0.26,0.0029460985943265254,-0.012153078961384029
0.31,-0.003881421148894194,-0.013762864412291092
0.3,-0.0012060672004834746,-0.015667293715437118
0.34,-0.0027714980398950008,-0.01558842020467111
0.37,-0.0015990583734095502,0.001575724548740478
0.4,0.001434392245264746,-0.04240704713554112
