t2,int1,int5,int7
-0.4,0.028071954744495375,0.9646677279224829,0.9610851788157169
-0.225,-0.006679811475029583,-0.0018659176813844865,0.22137887057386796
-0.3,0.03827694847674916,0.029202369948185706,0.18309488491641354
-0.35,-0.2741481093091326,-0.5701054741066361,-0.3238259261754059
-0.175,-0.0631480318296571,0.3685310470893969,0.1803878853479315
-0.025,0.03289837877949237,0.2485177509745828,0.080715773697337
-0.15,-0.08255212804962818,-0.6301657866826578,-0.5840012088256492
-0.375,0.24380001336233897,0.44292790229242074,0.5556098888727996
-0.05,-0.20473930257367248,0.7892154552199449,0.7542418246388584
-0.275,0.1637319230996552,0.5020681270457547,0.4638290834909811
