A0,Harmonic_1,Harmonic_2,Harmonic_3,Harmonic_4,Harmonic_5,Harmonic_6,Harmonic_7,Harmonic_8,Harmonic_9,Harmonic_10,Harmonic_11,Harmonic_12
0.0,9.488781922534603e-07,2.1651632017792376e-09,8.030733220089997e-14,7.03278695137976e-14,3.069055362465475e-17,2.2528196409384137e-18,7.252514082549989e-19,2.9400767950368793e-19,1.253441339888704e-19,7.455362532651459e-20,4.085470169284503e-20,2.3782654754599252e-20
0.2,11.628075688198127,0.003018498623434724,1.3881240979873062e-06,9.602614578150656e-06,0.07337058406121125,0.0039857749639226284,0.0005367006877744194,1.0371105427011516e-05,5.701183759484892e-11,3.1153787955329985e-09,2.430065242847944e-09,1.640654997444532e-10
0.05,1.2209992616622822,1.813109843602852e-08,7.659338243709411e-09,1.2970645701894298e-10,3.6803255955760996e-09,2.1635405115014878e-12,5.095348449221025e-13,2.799297918804826e-14,6.889228126725729e-16,6.665029752950398e-16,1.824961274662458e-14,1.2419596371750333e-16
0.4,4.470484664263428,0.29101650879351243,0.0035084098745573307,0.2352088326751294,0.9253840919635739,0.09711075421310439,0.2710769994739448,0.005132387227780645,6.83307540263415e-07,1.4813294871512424e-05,9.89675306312017e-05,4.038966125423055e-06
0.25,11.676024402753743,0.07627301098553536,8.989895063026153e-05,0.0004661954724382563,0.33321616312625585,0.011549000502950092,0.013883118785847852,7.795729449166085e-06,2.2676973837620334e-09,5.1216456987137656e-08,1.3556765594662929e-06,8.313453166863565e-09
0.35,8.017140540459303,0.027890951773442134,0.001024984381774985,0.09398296320120449,1.9533972753526445,0.0684832186893357,0.2997642657084916,0.00256156105294327,1.2988030113880493e-07,3.1025185537165486e-06,7.524306419086932e-06,1.1985441547777197e-06
0.3,12.12764955546211,0.008550425851222005,1.3461072029971126e-05,0.014240163454363308,0.6359208677167929,0.015510684412086737,0.13494137734944595,7.7326361356521e-05,2.8210086672037807e-08,3.0813838755032385e-07,5.836913418582418e-06,5.791932277527836e-08
0.15,9.474435152351804,1.4726732650002445e-05,1.463887251640006e-07,1.4157518794358602e-06,0.0017152285891387344,7.017313901988215e-05,5.362980069363634e-06,2.1351000877650315e-07,2.0142789747665306e-13,1.7652081373967454e-11,2.654470057493735e-10,7.916602872967673e-13
0.1,4.711421235593824,6.554841292870679e-07,3.093018533374854e-08,5.2431995552489334e-08,9.904757648786302e-06,1.1144725021675151e-07,2.735399929463005e-08,1.865657126813357e-10,3.685190666624886e-15,5.855011372979663e-14,3.5851916930382483e-13,1.4936487753646164e-15
