A0,current_x,current_y
0.0,-1.3781442725217007e-17,-1.4468122240354777e-16
0.04,0.00019721978917959016,0.004587863829188989
0.06,-0.00041132860519572435,0.0029381442352762466
0.07,-0.0007007505257956968,0.000544274058291033
0.11,-0.0008695172633335995,0.016596695770313148
0.12,-0.0009221049467568278,0.01578116907326284
0.19,0.00020130202111457674,0.0026242254430528114
0.2,0.0003840172382131734,0.0045456068683245865
0.21,0.0004243167018773895,0.0006197008941544695
0.22,0.0005009456278239816,-0.002420850767467251
0.24,0.0006918036274646355,0.012124108026150182
0.26,0.0007783162497445122,0.004117614856828345
0.31,7.791088988660766e-05,-0.0025262516322824887
0.32,0.00020125612697172597,-0.006297791457663406
0.38,-0.001733616791794034,0.007871643139141111
0.37,-0.0005839313089566749,-0.005068872640933739
0.36,0.0008684117750749587,-0.018406560741280612
