t2,current_x,current_y
0.01,0.00012261511441026906,(0.009500012892474369+2.425245910402194e-20j)
0.09,0.0027274977376165388,(-0.0016495706208209384-1.238906387554398e-19j)
0.06,-0.0009657077512946027,(-0.020718370552987548-1.6050353202138852e-19j)
0.0,-0.0012771214983316006,(-0.0008215821104009802-1.2993485410880967e-21j)
0.07,0.0008899581901912966,(-0.018115342957579387+5.043234167952104e-20j)
0.04,0.0004548283190788228,(-0.02272977764265588+1.5211779996445254e-19j)
0.02,0.0010799632328574752,(0.003637579883817349-1.9500392511688502e-19j)
0.03,-0.00048131467466651975,(-0.0189748280851094+3.1939579561886257e-19j)
0.15,-0.00030146418722786205,(-0.024195739660145713-4.337520197617712e-19j)
0.1,-0.0003317002931834723,(-0.014537336628894724-5.52810547311362e-19j)
0.12,-0.0030594260306160796,(0.021666845231578663-4.893605797819632e-20j)
0.18,-0.0033940073891728017,(-0.010747789652570653+8.83357955197301e-20j)
0.14,0.0013655451306416487,(-0.010685944833036773-5.486602976280527e-19j)
0.17,0.0009619646366385508,(-0.012015751847564704+2.5917725878323897e-19j)
0.11,-0.0035450580411495866,(-0.02383045101707993+7.175597261017443e-20j)
0.16,-0.001969517699094234,(-0.02412233436979178+8.927532446482458e-19j)
0.29,0.0023832340714891377,(-0.05724739306714473-3.4156137729908673e-19j)
0.27,0.001642311135519777,(-0.07195900346100191-3.9627377646108376e-19j)
0.23,0.001350224172481393,(-0.06476641908588991-6.346589174880714e-19j)
0.22,-0.001999874713441854,(-0.01124919584469797-7.333263973819358e-19j)
0.21,0.0014304494044962768,(0.01495505055930515-2.1444375477284485e-19j)
0.26,-0.002196494405962201,(-0.05087202950265753-1.001406395957291e-18j)
0.25,-0.0051912210130065336,(-0.02685766656614476+1.111033635155679e-18j)
0.35,0.0016133312497301152,(-0.028227099652143046+6.914321478107381e-19j)
0.37,0.0008323722582930435,(-0.06658295825318217+1.7512645471290258e-18j)
0.34,-0.001246621809485087,(-0.07610551094465771-1.8834455208557172e-19j)
0.3,0.0010146036123792222,(-0.06550398579502231+1.6387588782176313e-19j)
0.38,0.0004808789386229601,(-0.05638119397949545-1.5194276060590244e-18j)
0.31,0.0018484368916759615,(-0.06315839463898396-1.1219798419330463e-19j)
0.32,0.00032352286879608664,(-0.03414067951296286+9.901425518247034e-19j)
0.4,-0.0004076520283667733,(-0.09138722527784297-1.2103289782216956e-18j)
