A0,current_x,current_y
0.0,3.0170744375057624e-17,0.07778571273388418
0.02,0.0006499079114891573,0.07516174027920795
0.01,0.0006969897061264918,0.07836969331692642
0.03,0.00022232401381282364,0.08096834288404949
0.04,0.002322900733793432,0.10052881818032532
0.05,0.0010014552957666055,0.08246468961057271
0.06,0.0008118380484768462,0.05520168892479321
0.07,-0.0014534783111767456,0.032744740995321646
0.08,-0.0010992191626675238,0.029908386884634378
0.09,-0.003552728009594255,0.013820790598607696
0.1,-0.0035688091947708796,0.002328171836004283
0.11,-0.0026411737734854702,-0.01125259587911415
0.12,-0.0011703683075190532,-0.004146681580505234
0.13,0.0012814497438766918,0.008974758255015583
0.14,0.001267537560711964,0.0007873494259002821
0.15,-0.0003399904939746856,-0.0010549685211350486
0.16,-0.00032780337714537845,0.0040245732959371845
0.17,-0.00234488322060826,0.020307418996494138
0.18,-0.004167781491854118,0.05013794143647897
0.19,-0.0027176770305113083,0.053843385840930354
0.2,-0.0030038326072201736,0.033786659127567856
0.21,-0.00283978480024313,0.02826092628737802
0.22,0.0018218337971465672,0.02835312724512833
0.23,0.0027788493463686325,0.024494359054029007
0.24,8.361153437679292e-06,0.03538213751023963
0.25,-0.0020940170718800628,0.043144540550869435
0.27,-0.0019963395690463038,0.0382077445451182
0.26,-0.0018042393334740008,0.050159836492418466
0.28,-0.0012595019491131304,0.012246680649644074
0.29,0.0012825294372256866,-0.008974752927294131
0.3,0.0038562552163900607,-0.033983194186580364
0.31,0.00437684732771131,-0.03375622167722055
0.33,0.001166456530008407,-0.0004082214117940728
0.32,0.004025350794004765,-0.0019480790047770574
0.34,-0.0009219035366087975,-0.030115712839217493
0.35,-0.0001615139100459726,-0.026354711207485147
0.36,0.00041341004528865777,-0.00112113674593732
0.37,-0.0004983538459017494,0.010480238974556818
0.38,-0.003317755723877185,0.014926887534386122
0.39,-0.007969727375428599,0.014320187511257111
0.4,-0.009454869668338688,0.008243077089165893
